episode,score,avg_score,loss,epsilon
746,19,15.94,27.597,0.0078
747,15,15.86,26.5657,0.0078
748,21,16.0,26.3679,0.0078
749,17,15.9,26.9331,0.0078
750,18,15.88,22.9225,0.0078
751,9,15.92,22.1563,0.0078
752,19,16.06,25.5172,0.0078
753,10,15.88,24.9722,0.0078
754,14,15.76,23.6248,0.0078
755,10,15.78,27.9427,0.0078
756,14,15.92,25.4952,0.0078
757,13,15.74,26.9907,0.0078
758,15,15.84,25.7701,0.0078
759,3,15.54,40.8916,0.0078
760,7,15.14,20.9233,0.0078
761,11,14.68,26.1457,0.0078
762,17,14.6,25.2295,0.0078
763,9,14.34,21.0085,0.0078
764,13,14.2,29.2279,0.0078
765,6,14.1,18.9977,0.0078
766,13,13.96,27.1886,0.0078
767,10,13.78,26.3143,0.0078
768,20,14.02,22.8554,0.0078
769,8,13.84,24.5749,0.0078
770,14,13.82,25.0549,0.0078
771,22,14.02,25.0,0.0078
772,22,14.26,26.6993,0.0078
773,17,14.18,25.7508,0.0078
774,17,14.24,21.4393,0.0078
775,8,14.14,25.185,0.0078
776,7,14.04,25.6298,0.0078
